"< Measurement Data Text Output >"
""
"Date/Time"	"@date()"	"ch.1"	"ch.2"	"ch.3"	"ch.4"	"ch.5"	"ch.6"	"ch.7"	"ch.8"
""	""	"°C"	"%RH"	"hPa"	""	""	""	""	""
"02/14/2023 11:16'42"	"44971.4699305556"	"  25.4000"	"  19.0000"	"  1006.9000"	""	""	""	""	""	
"02/14/2023 11:16'52"	"44971.4700462963"	"  25.4000"	"  20.0000"	"  1006.9000"	""	""	""	""	""	
"02/14/2023 11:17'02"	"44971.4701620370"	"  25.4000"	"  20.0000"	"  1006.8000"	""	""	""	""	""	
"02/14/2023 11:17'12"	"44971.4702777778"	"  25.4000"	"  19.0000"	"  1006.9000"	""	""	""	""	""	
"02/14/2023 11:17'22"	"44971.4703935185"	"  25.4000"	"  19.0000"	"  1006.8000"	""	""	""	""	""	
"02/14/2023 11:17'32"	"44971.4705092593"	"  25.4000"	"  19.0000"	"  1006.9000"	""	""	""	""	""	
"02/14/2023 11:17'42"	"44971.4706250000"	"  25.4000"	"  19.0000"	"  1006.9000"	""	""	""	""	""	
"02/14/2023 11:17'52"	"44971.4707407407"	"  25.4000"	"  18.0000"	"  1006.8000"	""	""	""	""	""	
"02/14/2023 11:18'02"	"44971.4708564815"	"  25.4000"	"  18.0000"	"  1006.8000"	""	""	""	""	""	
"02/14/2023 11:18'12"	"44971.4709722222"	"  25.4000"	"  18.0000"	"  1006.8000"	""	""	""	""	""	
"02/14/2023 11:18'22"	"44971.4710879630"	"  25.4000"	"  18.0000"	"  1006.7000"	""	""	""	""	""	
"02/14/2023 11:18'32"	"44971.4712037037"	"  25.4000"	"  19.0000"	"  1006.7000"	""	""	""	""	""	
"02/14/2023 11:18'42"	"44971.4713194444"	"  25.3000"	"  19.0000"	"  1006.7000"	""	""	""	""	""	
"02/14/2023 11:18'52"	"44971.4714351852"	"  25.3000"	"  19.0000"	"  1006.8000"	""	""	""	""	""	
"02/14/2023 11:19'02"	"44971.4715509259"	"  25.3000"	"  18.0000"	"  1006.8000"	""	""	""	""	""	
"02/14/2023 11:19'12"	"44971.4716666667"	"  25.3000"	"  18.0000"	"  1006.8000"	""	""	""	""	""	
"02/14/2023 11:19'22"	"44971.4717824074"	"  25.3000"	"  18.0000"	"  1006.8000"	""	""	""	""	""	
"02/14/2023 11:19'32"	"44971.4718981481"	"  25.3000"	"  18.0000"	"  1006.8000"	""	""	""	""	""	
"02/14/2023 11:19'42"	"44971.4720138889"	"  25.3000"	"  18.0000"	"  1006.8000"	""	""	""	""	""	
"02/14/2023 11:19'52"	"44971.4721296296"	"  25.3000"	"  19.0000"	"  1006.8000"	""	""	""	""	""	
